PRIMARY_KEY,REP_DATE,REP_TIME,LOCATION,X_COORDINATE,Y_COORDINATE,APD_sector,CouncilDistrict,county_description,ZIP,CENSUS_TRACT,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Based On,Search Found
20181270100,05/07/2018,134,500 E 7TH ST,3115951,10070759,GE,Council District 9,TRAVIS COUNTY,78701,11,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES,INCIDENTAL TO ARREST,DRUGS
20181010107,04/11/2018,153,1800 CHESTNUT AVE,3122322,10075054,CH,Council District 1,TRAVIS COUNTY,78702,8.03,,Moving Traffic Violation,M,BLACK,NO,,
20181270100,05/07/2018,134,500 E 7TH ST,3115951,10070759,GE,Council District 9,TRAVIS COUNTY,78701,11,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Violation of law other than traffic,M,BLACK,YES,INCIDENTAL TO ARREST,DRUGS
20181270100,05/07/2018,134,500 E 7TH ST,3115951,10070759,GE,Council District 9,TRAVIS COUNTY,78701,11,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES,INCIDENTAL TO ARREST,DRUGS
20181281423,05/08/2018,1810,4000 AIRPORT BLVD,3125170,10079627,CH,Council District 9,TRAVIS COUNTY,78722,3.07,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES,INCIDENTAL TO ARREST,NOTHING
20181220004,05/02/2018,420,6900 CAMERON RD,3129276,10091545,ID,Council District 4,TRAVIS COUNTY,78752,18.12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,PROBABLE CAUSE,NOTHING
20181651823,06/14/2018,2118,FISKVILLE CEMETERY RD / E RUNDBERG LN,3132487,10102798,ED,Council District 4,TRAVIS COUNTY,78753,18.13,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181141347,04/24/2018,1831,4600 CHARTWELL DR,3131344,10079943,CH,Council District 1,TRAVIS COUNTY,78723,21.07,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,NO,,
20181170144,04/27/2018,223,1600 BLOCK VARGAS RD,3128386,10056040,HE,Council District 3,TRAVIS COUNTY,78741,23.12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,PROBABLE CAUSE,OTHER
20181460011,05/26/2018,56,7900 BLOCK BURNET RD,3117383,10103238,BA,Council District 7,TRAVIS COUNTY,78757,18.17,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,HISPANIC OR LATINO,YES,PROBABLE CAUSE,NOTHING
